2025-12-07 13:23:02,950 INFO     PLC controller Controller01 Inited
2025-12-07 13:23:02,951 INFO     PLC controller verification loop started
2025-12-07 13:23:02,951 INFO     Start one around verification.
2025-12-07 13:23:12,953 INFO     Random generate input: [True, True, False, True, True, False, True, True]
2025-12-07 13:23:12,953 INFO     Expected output: [True, False, False, True, False, False, True, False]
2025-12-07 13:23:14,976 INFO     Get PLC result: [True, False, False, True, False, False, True, False]
2025-12-07 13:23:14,976 INFO     Start one around verification.
2025-12-07 13:23:24,982 INFO     Random generate input: [False, True, True, True, False, True, True, True]
2025-12-07 13:23:24,982 INFO     Expected output: [False, False, False, True, False, True, True, True]
2025-12-07 13:23:27,034 INFO     Get PLC result: [False, False, False, True, False, True, True, True]
2025-12-07 13:23:27,034 INFO     Start one around verification.
2025-12-07 13:23:37,048 INFO     Random generate input: [True, False, False, False, False, True, False, False]
2025-12-07 13:23:37,048 INFO     Expected output: [False, True, False, False, False, False, True, True]
2025-12-07 13:23:39,106 INFO     Get PLC result: [False, True, False, False, False, False, True, True]
2025-12-07 13:23:39,106 INFO     Start one around verification.
2025-12-07 13:23:49,115 INFO     Random generate input: [True, False, False, False, False, True, True, True]
2025-12-07 13:23:49,115 INFO     Expected output: [True, True, False, True, False, False, False, True]
2025-12-07 13:23:51,164 INFO     Get PLC result: [True, True, False, True, False, False, False, True]
2025-12-07 13:23:51,164 INFO     Start one around verification.
2025-12-07 13:24:01,166 INFO     Random generate input: [True, True, False, False, False, False, True, False]
2025-12-07 13:24:01,166 INFO     Expected output: [False, False, False, True, True, False, True, False]
2025-12-07 13:24:02,995 INFO     Get PLC result: [False, False, False, True, True, False, True, False]
2025-12-07 13:24:02,995 INFO     Start one around verification.
2025-12-07 13:24:12,996 INFO     Random generate input: [True, True, False, True, False, False, False, False]
2025-12-07 13:24:12,996 INFO     Expected output: [False, False, False, False, True, False, True, False]
2025-12-07 13:24:14,823 INFO     Get PLC result: [False, False, False, False, True, False, True, False]
2025-12-07 13:24:14,824 INFO     Start one around verification.
2025-12-07 13:24:24,825 INFO     Random generate input: [True, False, True, False, False, False, False, False]
2025-12-07 13:24:24,825 INFO     Expected output: [False, True, False, False, True, False, True, False]
2025-12-07 13:24:26,872 INFO     Get PLC result: [False, True, False, False, True, False, True, False]
2025-12-07 13:24:26,872 INFO     Start one around verification.
