2025-12-06 23:14:08,054 INFO     PLC controller Controller01 Inited
2025-12-06 23:14:08,055 INFO     PLC controller verification loop started
2025-12-06 23:14:08,055 INFO     Start one around verification.
2025-12-06 23:14:18,056 INFO     Random generate input: [True, True, True, True, False, True, True, False]
2025-12-06 23:14:18,056 INFO     Expected output: [False, False, False, True, False, False, True, True]
2025-12-06 23:14:20,079 INFO     Get PLC result: [False, False, False, True, False, False, True, True]
2025-12-06 23:14:20,079 INFO     Start one around verification.
2025-12-06 23:14:30,086 INFO     Random generate input: [True, False, False, False, True, False, True, True]
2025-12-06 23:14:30,086 INFO     Expected output: [True, True, False, True, False, False, False, False]
2025-12-06 23:14:32,117 INFO     Get PLC result: [True, True, False, True, False, False, False, False]
2025-12-06 23:14:32,117 INFO     Start one around verification.
2025-12-06 23:14:42,124 INFO     Random generate input: [True, False, False, True, True, True, True, True]
2025-12-06 23:14:42,124 INFO     Expected output: [True, True, False, True, False, False, True, True]
2025-12-06 23:14:44,161 INFO     Get PLC result: [True, True, False, True, False, False, True, True]
2025-12-06 23:14:44,161 INFO     Start one around verification.
2025-12-06 23:14:54,170 INFO     Random generate input: [False, True, False, False, False, False, False, True]
2025-12-06 23:14:54,171 INFO     Expected output: [False, False, False, True, True, False, False, False]
2025-12-06 23:14:56,203 INFO     Get PLC result: [False, False, False, True, True, False, False, False]
2025-12-06 23:14:56,203 INFO     Start one around verification.
2025-12-06 23:15:06,204 INFO     Random generate input: [True, False, True, True, True, True, False, True]
2025-12-06 23:15:06,204 INFO     Expected output: [True, True, True, False, False, False, True, True]
2025-12-06 23:15:08,238 INFO     Get PLC result: [True, True, True, False, False, False, True, True]
2025-12-06 23:15:08,238 INFO     Start one around verification.
2025-12-06 23:15:18,240 INFO     Random generate input: [True, False, False, False, True, False, False, False]
2025-12-06 23:15:18,240 INFO     Expected output: [False, True, False, False, False, False, True, False]
2025-12-06 23:15:20,272 INFO     Get PLC result: [False, True, False, False, False, False, True, False]
2025-12-06 23:15:20,273 INFO     Start one around verification.
2025-12-06 23:15:30,283 INFO     Random generate input: [True, False, False, False, False, False, False, False]
2025-12-06 23:15:30,283 INFO     Expected output: [False, True, False, False, True, False, True, False]
2025-12-06 23:15:32,317 INFO     Get PLC result: [False, True, False, False, True, False, True, False]
2025-12-06 23:15:32,318 INFO     Start one around verification.
2025-12-06 23:15:42,328 INFO     Random generate input: [False, True, False, True, True, True, False, False]
2025-12-06 23:15:42,328 INFO     Expected output: [False, False, False, True, False, False, True, True]
2025-12-06 23:15:44,368 INFO     Get PLC result: [False, False, False, True, False, False, True, True]
2025-12-06 23:15:44,369 INFO     Start one around verification.
2025-12-06 23:15:54,379 INFO     Random generate input: [False, True, True, True, True, True, True, True]
2025-12-06 23:15:54,379 INFO     Expected output: [False, False, True, True, False, True, True, True]
2025-12-06 23:15:56,417 INFO     Get PLC result: [False, False, True, True, False, True, True, True]
2025-12-06 23:15:56,417 INFO     Start one around verification.
2025-12-06 23:16:06,424 INFO     Random generate input: [False, True, True, False, False, True, True, True]
2025-12-06 23:16:06,424 INFO     Expected output: [False, False, False, True, False, True, False, True]
2025-12-06 23:16:08,464 INFO     Get PLC result: [False, False, False, True, False, True, False, True]
2025-12-06 23:16:08,465 INFO     Start one around verification.
2025-12-06 23:16:18,476 INFO     Random generate input: [True, True, False, False, True, False, False, True]
2025-12-06 23:16:18,477 INFO     Expected output: [True, False, False, False, False, False, False, False]
2025-12-06 23:16:20,525 INFO     Get PLC result: [True, False, False, False, False, False, False, False]
2025-12-06 23:16:20,526 INFO     Start one around verification.
2025-12-06 23:16:30,533 INFO     Random generate input: [True, False, False, False, True, True, True, True]
2025-12-06 23:16:30,533 INFO     Expected output: [True, True, False, True, False, False, False, True]
2025-12-06 23:16:32,582 INFO     Get PLC result: [True, True, False, True, False, False, False, True]
2025-12-06 23:16:32,583 INFO     Start one around verification.
2025-12-06 23:16:42,583 INFO     Random generate input: [True, True, False, False, True, True, False, False]
2025-12-06 23:16:42,583 INFO     Expected output: [False, False, False, False, False, False, True, True]
2025-12-06 23:16:44,614 INFO     Get PLC result: [False, False, False, False, False, False, True, True]
2025-12-06 23:16:44,615 INFO     Start one around verification.
2025-12-06 23:16:54,627 INFO     Random generate input: [True, False, False, True, False, False, True, True]
2025-12-06 23:16:54,627 INFO     Expected output: [True, True, False, True, True, False, True, False]
2025-12-06 23:16:56,659 INFO     Get PLC result: [True, True, False, True, True, False, True, False]
2025-12-06 23:16:56,660 INFO     Start one around verification.
2025-12-06 23:17:06,672 INFO     Random generate input: [False, True, True, True, False, True, False, True]
