2025-12-08 19:49:13,462 INFO     Monitor Hub Data Manager Initialized.
2025-12-08 19:49:23,517 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'login', 'Timestamp': '2025-12-08 19:49:23', 'Data': {'ID': 'modbusPLC01', 'IP': '192.168.8.34', 'Type': 'plc', 'Protocol': 'Modbus', 'LadderID': 'mbLadderLogic.py'}}
2025-12-08 19:49:23,517 INFO     Added a new PLC emulator: modbusPLC01
2025-12-08 19:49:23,517 INFO     PLC Emulator: modbusPLC01 login.
2025-12-08 19:49:23,592 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'login', 'Timestamp': '2025-12-08 19:49:23', 'Data': {'ID': 'S7PLC01', 'IP': '192.168.8.34', 'Type': 'plc', 'Protocol': 'S7Comm', 'LadderID': 's7LadderLogic.py'}}
2025-12-08 19:49:23,595 INFO     Added a new PLC emulator: S7PLC01
2025-12-08 19:49:23,595 INFO     PLC Emulator: S7PLC01 login.
2025-12-08 19:49:28,529 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:28', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:23', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:49:28,600 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:28', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:23', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:49:33,480 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'login', 'Timestamp': '2025-12-08 19:49:33', 'Data': {'ID': 'S7Control01', 'IP': '192.168.8.34', 'Type': 'controller', 'Protocol': 'S7Comm', 'LadderID': 's7LadderLogic.py', 'TargetID': 'S7PLC01', 'TargetIP': '192.168.8.34'}}
2025-12-08 19:49:33,481 INFO     Added a new PLC controller: S7Control01
2025-12-08 19:49:33,481 INFO     PLC Controller: S7Control01 login.
2025-12-08 19:49:33,542 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:33', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:23', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:49:33,604 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:33', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:49:35,339 INFO     Raw Data: {'ID': 'modbusControl01', 'Action': 'login', 'Timestamp': '2025-12-08 19:49:35', 'Data': {'ID': 'modbusControl01', 'IP': '192.168.8.34', 'Type': 'controller', 'Protocol': 'Modbus', 'LadderID': 'mbLadderLogic.py', 'TargetID': 'modbusPLC01', 'TargetIP': '192.168.8.34'}}
2025-12-08 19:49:35,339 INFO     Added a new PLC controller: modbusControl01
2025-12-08 19:49:35,339 INFO     PLC Controller: modbusControl01 login.
2025-12-08 19:49:38,547 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:38', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:49:38,608 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:38', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:49:43,551 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:43', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:49:43,611 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:43', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:49:48,489 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'normal', 'Timestamp': '2025-12-08 19:49:48', 'Data': {'type': 'normal', 'time': '2025-12-08 19:49:45', 'message': 'normal : PLC Control Loop Normal'}}
2025-12-08 19:49:48,554 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:48', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:49:48,614 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:48', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:49:50,344 INFO     Raw Data: {'ID': 'modbusControl01', 'Action': 'normal', 'Timestamp': '2025-12-08 19:49:50', 'Data': {'type': 'normal', 'time': '2025-12-08 19:49:47', 'message': 'normal : Pass:PLC Control Loop Normal'}}
2025-12-08 19:49:53,557 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:53', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:49:53,618 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:53', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:49:58,493 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'normal', 'Timestamp': '2025-12-08 19:49:58', 'Data': {'type': 'normal', 'time': '2025-12-08 19:49:57', 'message': 'normal : PLC Control Loop Normal'}}
2025-12-08 19:49:58,565 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:58', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:49:58,623 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:49:58', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:50:00,349 INFO     Raw Data: {'ID': 'modbusControl01', 'Action': 'normal', 'Timestamp': '2025-12-08 19:50:00', 'Data': {'type': 'normal', 'time': '2025-12-08 19:49:58', 'message': 'normal : Pass:PLC Control Loop Normal'}}
2025-12-08 19:50:03,570 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:50:03', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:50:03,628 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:50:03', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:50:08,577 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:50:08', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service'}}
2025-12-08 19:50:08,638 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:50:08', 'Data': {'type': 'alert', 'time': '2025-12-08 19:49:24', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
