2025-12-08 19:50:41,569 INFO     Monitor Hub Data Manager Initialized.
2025-12-08 19:50:51,464 INFO     Raw Data: {'ID': 'modbusPLC01', 'Action': 'login', 'Timestamp': '2025-12-08 19:50:51', 'Data': {'ID': 'modbusPLC01', 'IP': '192.168.8.34', 'Type': 'plc', 'Protocol': 'Modbus', 'LadderID': 'mbLadderLogic.py'}}
2025-12-08 19:50:51,464 INFO     Added a new PLC emulator: modbusPLC01
2025-12-08 19:50:51,464 INFO     PLC Emulator: modbusPLC01 login.
2025-12-08 19:50:51,534 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'login', 'Timestamp': '2025-12-08 19:50:51', 'Data': {'ID': 'S7PLC01', 'IP': '192.168.8.34', 'Type': 'plc', 'Protocol': 'S7Comm', 'LadderID': 's7LadderLogic.py'}}
2025-12-08 19:50:51,535 INFO     Added a new PLC emulator: S7PLC01
2025-12-08 19:50:51,536 INFO     PLC Emulator: S7PLC01 login.
2025-12-08 19:50:56,540 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:50:56', 'Data': {'type': 'alert', 'time': '2025-12-08 19:50:56', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:51:01,544 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 19:51:01', 'Data': {'type': 'alert', 'time': '2025-12-08 19:50:56', 'message': 'alert : A http request is sent to PLC emulator. Someone tries to scan the PLC web service.'}}
2025-12-08 19:51:01,555 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'login', 'Timestamp': '2025-12-08 19:51:01', 'Data': {'ID': 'S7Control01', 'IP': '192.168.8.34', 'Type': 'controller', 'Protocol': 'S7Comm', 'LadderID': 's7LadderLogic.py', 'TargetID': 'S7PLC01', 'TargetIP': '192.168.8.34'}}
2025-12-08 19:51:01,555 INFO     Added a new PLC controller: S7Control01
