2025-12-08 21:11:39,395 INFO     Monitor Hub Data Manager Initialized.
2025-12-08 21:11:44,861 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'login', 'Timestamp': '2025-12-08 21:11:44', 'Data': {'ID': 'S7PLC01', 'IP': '192.168.8.34', 'Type': 'plc', 'Protocol': 'S7Comm', 'LadderID': 's7LadderLogic.py'}}
2025-12-08 21:11:44,862 INFO     Added a new PLC emulator: S7PLC01
2025-12-08 21:11:44,862 INFO     PLC Emulator: S7PLC01 login.
2025-12-08 21:11:46,998 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'login', 'Timestamp': '2025-12-08 21:11:46', 'Data': {'ID': 'S7Control01', 'IP': '192.168.8.34', 'Type': 'controller', 'Protocol': 'S7Comm', 'LadderID': 's7LadderLogic.py', 'TargetID': 'S7PLC01', 'TargetIP': '192.168.8.34'}}
2025-12-08 21:11:47,000 INFO     Added a new PLC controller: S7Control01
2025-12-08 21:11:47,000 INFO     PLC Controller: S7Control01 login.
2025-12-08 21:11:54,877 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:11:54', 'Data': {'type': 'alert', 'time': '2025-12-08 21:11:53', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:11:59,881 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:11:59', 'Data': {'type': 'alert', 'time': '2025-12-08 21:11:53', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:12:02,006 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'normal', 'Timestamp': '2025-12-08 21:12:02', 'Data': {'type': 'normal', 'time': '2025-12-08 21:11:58', 'message': 'normal : PLC Control Loop Normal'}}
2025-12-08 21:12:04,886 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:12:04', 'Data': {'type': 'alert', 'time': '2025-12-08 21:11:58', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:12:09,892 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:12:09', 'Data': {'type': 'alert', 'time': '2025-12-08 21:12:03', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:12:12,011 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'normal', 'Timestamp': '2025-12-08 21:12:12', 'Data': {'type': 'normal', 'time': '2025-12-08 21:12:10', 'message': 'normal : PLC Control Loop Normal'}}
2025-12-08 21:12:14,896 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:12:14', 'Data': {'type': 'alert', 'time': '2025-12-08 21:12:06', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:12:19,902 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:12:19', 'Data': {'type': 'alert', 'time': '2025-12-08 21:12:12', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:12:24,907 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:12:24', 'Data': {'type': 'alert', 'time': '2025-12-08 21:12:18', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:12:27,018 INFO     Raw Data: {'ID': 'S7Control01', 'Action': 'normal', 'Timestamp': '2025-12-08 21:12:27', 'Data': {'type': 'normal', 'time': '2025-12-08 21:12:22', 'message': 'normal : PLC Control Loop Normal'}}
2025-12-08 21:12:29,912 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:12:29', 'Data': {'type': 'alert', 'time': '2025-12-08 21:12:21', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
2025-12-08 21:12:34,924 INFO     Raw Data: {'ID': 'S7PLC01', 'Action': 'alert', 'Timestamp': '2025-12-08 21:12:34', 'Data': {'type': 'alert', 'time': '2025-12-08 21:12:27', 'message': 'alert : A http request is sent to PLC emulator. Possible probe or scan to the PLC web service'}}
